,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Position_Size,PnL,Balance,Sys_Trade,FTMO_Phase,Strat_Return,Strat_Duration,Entry_Hour,Return_Percentage
329,2022-05-02 10:30:00-04:00,4156.6,2022-05-02 12:45:00-04:00,4104.4,24.77782960126877,-1318.224968867263,130504.271917859,True,funded,0.99,1,10,-1.0000000000000009
330,2022-05-03 11:15:00-04:00,4189.2,2022-05-04 11:30:00-04:00,4149.4,32.02075663001439,-1305.04271917859,129199.22919868042,True,funded,0.99,2,11,-1.0000000000000009
331,2022-05-06 11:00:00-04:00,4137.0,2022-05-06 15:15:00-04:00,4086.6,25.136568202867227,-1291.9922919868043,127907.23690669361,True,funded,0.99,1,11,-1.0000000000000009
332,2022-05-11 10:00:00-04:00,4031.0,2022-05-11 13:00:00-04:00,3970.6,20.818175965145983,-1279.072369066936,126628.16453762667,True,funded,0.99,1,10,-1.0000000000000009
333,2022-05-12 10:15:00-04:00,3925.0,2022-05-12 13:45:00-04:00,3875.6,25.125132378013234,-1266.2816453762666,125361.8828922504,True,funded,0.99,1,10,-1.0000000000000009
334,2022-05-13 10:00:00-04:00,3992.4,2022-05-13 12:45:00-04:00,4023.3466195049773,40.278026739435255,1209.2463465250526,126571.12923877545,True,funded,1.0096460448632891,1,10,0.9646044863289127
335,2022-05-16 10:30:00-04:00,4022.2,2022-05-16 10:45:00-04:00,3997.6,49.634302849911776,-1265.7112923877546,125305.4179463877,True,funded,0.99,1,10,-1.0000000000000009
336,2022-05-19 11:45:00-04:00,3934.6,2022-05-19 13:00:00-04:00,3889.8,27.3696091987694,-1253.054179463877,124052.36376692382,True,funded,0.9900000000000001,1,11,-0.9999999999999898
337,2022-05-23 10:30:00-04:00,3945.8,2022-05-24 02:45:00-04:00,3916.6,41.1841212556409,-1240.5236376692383,122811.84012925459,True,funded,0.99,2,10,-1.0000000000000009
338,2022-05-25 10:15:00-04:00,3955.6,2022-05-26 07:45:00-04:00,4004.2460605850047,38.4628428079417,1835.295507260293,124647.13563651488,True,funded,1.014943962286769,2,10,1.4943962286769086
339,2022-05-26 10:00:00-04:00,4031.2,2022-05-27 11:00:00-04:00,4112.834355340679,29.700271683376773,2395.802314968802,127042.93795148369,True,funded,1.019220676854984,2,10,1.9220676854984076
340,2022-05-30 10:00:00-04:00,4173.4,2022-05-30 12:00:00-04:00,4179.338890809223,210.90489658581257,1078.8172346850158,128121.75518616871,True,funded,1.0084917528835566,1,10,0.8491752883556636
341,2022-06-02 10:15:00-04:00,4106.6,2022-06-02 10:15:00-04:00,4079.6,45.90710618207432,-1281.217551861687,126840.53763430702,True,funded,0.99,1,10,-1.0000000000000009
342,2022-06-02 11:00:00-04:00,4101.4,2022-06-02 20:45:00-04:00,4177.512411983095,55.9028927585436,4205.181690478248,131045.71932478527,True,funded,1.0331532944349555,1,11,3.3153294434955516
343,2022-06-06 10:15:00-04:00,4166.4,2022-06-06 11:15:00-04:00,4141.2,50.209892047994686,-1310.4571932478527,129735.26213153741,True,funded,0.99,1,10,-1.0000000000000009
344,2022-06-07 10:00:00-04:00,4099.8,2022-06-07 11:15:00-04:00,4123.798441702843,59.28223033556762,1370.2553644541576,131105.51749599157,True,funded,1.010561934680988,1,10,1.0561934680987983
345,2022-06-08 10:00:00-04:00,4155.6,2022-06-08 12:30:00-04:00,4129.2,48.01673437352535,-1311.0551749599158,129794.46232103166,True,funded,0.99,1,10,-1.0000000000000009
346,2022-06-09 10:00:00-04:00,4118.6,2022-06-09 11:00:00-04:00,4085.6,38.2527995032633,-1297.9446232103166,128496.51769782134,True,funded,0.99,1,10,-1.0000000000000009
347,2022-06-14 10:00:00-04:00,3772.8,2022-06-14 10:15:00-04:00,3743.4,42.38295288007317,-1284.9651769782135,127211.55252084314,True,funded,0.9900000000000001,1,10,-0.9999999999999898
348,2022-06-20 10:30:00-04:00,3706.2,2022-06-20 12:30:00-04:00,3712.1312996190045,131.99120054254868,672.2863970559499,127883.83891789909,True,funded,1.0052847904434292,1,10,0.5284790443429221
349,2022-06-21 10:00:00-04:00,3765.4,2022-06-21 22:45:00-04:00,3734.2,39.80744966184313,-1278.838389178991,126605.0005287201,True,funded,0.99,1,10,-1.0000000000000009
350,2022-06-22 10:00:00-04:00,3751.6,2022-06-22 14:30:00-04:00,3789.36489529773,36.44653194471708,1342.2422373018446,127947.24276602195,True,funded,1.0106018106053984,1,10,1.0601810605398443
351,2022-06-23 11:00:00-04:00,3794.6,2022-06-23 11:30:00-04:00,3773.2,57.40866791262227,-1279.4724276602196,126667.77033836173,True,funded,0.99,1,11,-1.0000000000000009
352,2022-06-24 10:00:00-04:00,3854.4,2022-06-24 14:00:00-04:00,3885.0610632264043,49.284285288422204,1466.681159065716,128134.45149742745,True,funded,1.0115789608923236,1,10,1.1578960892323575
353,2022-06-29 10:45:00-04:00,3834.0,2022-06-29 12:15:00-04:00,3801.8,38.67710651437217,-1281.3445149742747,126853.10698245317,True,funded,0.99,1,10,-1.0000000000000009
354,2022-06-30 11:30:00-04:00,3786.4,2022-06-30 23:00:00-04:00,3751.4,35.2941639615791,-1268.5310698245316,125584.57591262864,True,funded,0.99,1,11,-1.0000000000000009
355,2022-07-01 10:00:00-04:00,3801.0,2022-07-01 10:00:00-04:00,3770.6,40.0912102284065,-1255.8457591262866,124328.73015350236,True,funded,0.99,1,10,-1.0000000000000009
356,2022-07-07 10:00:00-04:00,3887.6,2022-07-11 02:00:00-04:00,3864.9,52.693076661065234,-1243.2873015350235,123085.44285196734,True,funded,0.99,3,10,-1.0000000000000009
357,2022-07-13 10:45:00-04:00,3808.0,2022-07-14 04:30:00-04:00,3759.2,24.714807026606227,-1230.8544285196733,121854.58842344767,True,funded,0.99,2,10,-1.0000000000000009
358,2022-07-14 11:45:00-04:00,3766.6,2022-07-15 09:45:00-04:00,3829.40832831679,31.276955779239092,1934.4317427087883,123789.02016615646,True,funded,1.0158749191781486,2,11,1.587491917814865
359,2022-07-15 10:30:00-04:00,3855.0,2022-07-18 05:15:00-04:00,3901.6237618248747,45.326845649322074,2072.046579307392,125861.06674546386,True,funded,1.0167385328402,2,10,1.6738532840200104
360,2022-07-19 10:00:00-04:00,3881.2,2022-07-19 14:45:00-04:00,3924.6893782170137,85.86374434620973,3660.4698575243306,129521.53660298818,True,funded,1.0290834167560896,1,10,2.908341675608961
361,2022-07-20 10:30:00-04:00,3947.6,2022-07-21 10:15:00-04:00,3927.6,62.029584905282775,-1295.2153660298818,128226.3212369583,True,funded,0.99,2,10,-1.0000000000000009
362,2022-07-21 11:30:00-04:00,3959.8,2022-07-21 16:15:00-04:00,3987.5,58.590055613283624,1571.0724959973188,129797.39373295562,True,funded,1.0122523400877579,1,11,1.2252340087757885
363,2022-07-27 10:15:00-04:00,3966.8,2022-07-27 15:45:00-04:00,4028.4242108010226,79.81320600799685,4849.575266935828,134646.96899989145,True,funded,1.037362655192548,1,10,3.736265519254811
364,2022-07-28 11:30:00-04:00,4050.4,2022-07-28 18:00:00-04:00,4094.1835629436805,34.93410651038849,1496.5923660705191,136143.56136596197,True,funded,1.0111149354284517,1,11,1.1114935428451655
365,2022-07-29 10:00:00-04:00,4103.6,2022-07-31 18:00:00-04:00,4124.244448755262,52.98576615857852,1046.4733212921906,137190.03468725417,True,funded,1.0076865428727784,2,10,0.7686542872778368
366,2022-08-01 10:00:00-04:00,4121.0,2022-08-01 22:15:00-04:00,4095.0,51.00374428628887,-1371.9003468725418,135818.13434038163,True,funded,0.99,1,10,-1.0000000000000009
367,2022-08-02 10:45:00-04:00,4112.0,2022-08-02 13:15:00-04:00,4127.729489062562,68.34249209110183,1015.3184881823141,136833.45282856395,True,funded,1.007475573811357,1,10,0.7475573811356995
368,2022-08-03 10:15:00-04:00,4131.6,2022-08-03 16:00:00-04:00,4155.0,61.96975128570884,1395.5163790569973,138228.96920762095,True,funded,1.0101986491622441,1,10,1.0198649162244111
369,2022-08-05 10:00:00-04:00,4129.2,2022-08-08 09:00:00-04:00,4165.341982865247,53.3833213983027,1881.6724301487861,140110.64163776973,True,funded,1.01361272127641,2,10,1.361272127640989
370,2022-08-08 10:45:00-04:00,4182.0,2022-08-08 11:30:00-04:00,4157.4,54.96481954242824,-1401.1064163776973,138709.53522139203,True,funded,0.99,1,10,-1.0000000000000009
371,2022-08-11 10:00:00-04:00,4242.0,2022-08-11 11:00:00-04:00,4230.8,115.17461268449509,-1387.0953522139203,137322.4398691781,True,funded,0.99,1,10,-1.0000000000000009
372,2022-08-12 11:15:00-04:00,4237.0,2022-08-14 18:00:00-04:00,4273.803357974534,90.01476307182985,3235.8337378679776,140558.27360704608,True,funded,1.023563765258982,2,11,2.356376525898196
373,2022-08-15 10:00:00-04:00,4277.2,2022-08-16 14:30:00-04:00,4317.803946935031,60.89490156828139,2418.8574306377936,142977.13103768387,True,funded,1.0172089295675337,2,10,1.7208929567533726
374,2022-08-18 11:15:00-04:00,4275.6,2022-08-18 12:45:00-04:00,4265.2,127.21172414078296,-1429.7713103768385,141547.35972730702,True,funded,0.99,1,11,-1.0000000000000009
375,2022-08-23 10:15:00-04:00,4156.4,2022-08-23 11:00:00-04:00,4128.0,48.3038903175715,-1415.47359727307,140131.88613003396,True,funded,0.9900000000000001,1,10,-0.9999999999999898
376,2022-08-24 10:15:00-04:00,4132.4,2022-08-24 12:30:00-04:00,4147.297425159836,91.8630829802877,1290.0329372664587,141421.91906730042,True,funded,1.0092058486679425,1,10,0.9205848667942496
377,2022-08-25 10:00:00-04:00,4169.6,2022-08-26 09:30:00-04:00,4199.0,58.232197961693075,1660.4408617044007,143082.35992900483,True,funded,1.0117410432035945,2,10,1.1741043203594481
378,2022-09-02 10:45:00-04:00,4013.8,2022-09-02 12:30:00-04:00,3977.8,38.74520650244697,-1430.8235992900486,141651.53632971479,True,funded,0.99,1,10,-1.0000000000000009
379,2022-09-05 10:15:00-04:00,3932.8,2022-09-05 19:45:00-04:00,3937.135173971334,196.04380045793474,688.0489406202709,142339.58527033505,True,funded,1.0048573348263496,1,10,0.48573348263496463
380,2022-09-07 11:00:00-04:00,3931.0,2022-09-07 15:45:00-04:00,3978.179567265662,52.14690634938771,2413.550950727613,144753.13622106265,True,funded,1.0169562876422866,1,11,1.6956287642286627
381,2022-09-08 10:00:00-04:00,3974.8,2022-09-09 01:30:00-04:00,4019.928971917705,43.189561742832666,1909.5488696360069,146662.68509069865,True,funded,1.01319176163976,2,10,1.3191761639760102
382,2022-09-09 10:00:00-04:00,4043.8,2022-09-09 15:45:00-04:00,4066.907848359226,89.12358846993622,1983.1554968173962,148645.84058751605,True,funded,1.0135218818310259,1,10,1.3521881831025873
383,2022-09-12 10:00:00-04:00,4111.0,2022-09-13 08:30:00-04:00,4085.0,55.27829872668509,-1486.4584058751605,147159.3821816409,True,funded,0.99,2,10,-1.0000000000000009
384,2022-09-14 10:00:00-04:00,3949.6,2022-09-14 10:15:00-04:00,3928.4,66.66335553711005,-1471.593821816409,145687.78835982448,True,funded,0.99,1,10,-1.0000000000000009
385,2022-09-14 11:00:00-04:00,3953.0,2022-09-14 13:45:00-04:00,3928.4,57.1605465983563,-1456.8778835982448,144230.91047622624,True,funded,0.9900000000000001,1,11,-0.9999999999999898
386,2022-09-15 10:00:00-04:00,3952.4,2022-09-15 10:45:00-04:00,3923.2,47.91030349207498,-1442.3091047622625,142788.60137146397,True,funded,0.9899999999999999,1,10,-1.000000000000012
387,2022-09-16 10:15:00-04:00,3863.4,2022-09-16 11:30:00-04:00,3844.0,70.43990166904126,-1427.88601371464,141360.71535774934,True,funded,0.9900000000000001,1,10,-0.9999999999999898
388,2022-09-19 10:00:00-04:00,3863.0,2022-09-19 20:30:00-04:00,3908.9946357635986,51.03649107164797,2301.575624635281,143662.2909823846,True,funded,1.016281578788071,1,10,1.6281578788071016
389,2022-09-21 10:30:00-04:00,3886.2,2022-09-21 11:00:00-04:00,3868.4,76.96897364644447,-1436.6229098238462,142225.66807256077,True,funded,0.99,1,10,-1.0000000000000009
390,2022-09-26 10:15:00-04:00,3702.2,2022-09-26 11:15:00-04:00,3672.4,46.31557780149086,-1422.2566807256076,140803.41139183516,True,funded,0.99,1,10,-1.0000000000000009
391,2022-09-28 10:30:00-04:00,3679.4,2022-09-28 18:45:00-04:00,3713.2153973350823,35.07585284795856,1153.0432186422283,141956.4546104774,True,funded,1.0081890289961335,1,10,0.8189028996133496
392,2022-09-30 10:00:00-04:00,3642.8,2022-09-30 14:30:00-04:00,3613.8,47.468608929690404,-1419.564546104774,140536.89006437262,True,funded,0.99,1,10,-1.0000000000000009
393,2022-10-03 10:15:00-04:00,3645.0,2022-10-03 21:45:00-04:00,3695.2617490155667,34.49184484344138,1701.0269727301657,142237.9170371028,True,funded,1.0121037755421443,1,10,1.2103775542144257
394,2022-10-04 10:00:00-04:00,3774.8,2022-10-05 10:00:00-04:00,3737.1,36.815043386260214,-1422.3791703710283,140815.5378667318,True,funded,0.9900000000000001,2,10,-0.9999999999999898
